"mrk_line","mrk_on_dcpt","mrk_on_risk","mrk_hack_on_dcpt","mrk_trap_on_dcpt","mrk_hack_on_risk","mrk_trap_on_risk","mrk_hack","mrk_trap","mrk_neutral","mrk_query_type","applied_honeywire","present_risk"
"",0,2,0,0,2,0,4,0,0,"httpheaders","","httpheaders-request-smuggling-clte"
"    RedirectMatch 301 /admin$ /drv/admin/index.php?role=view",8,0,6,2,0,0,6,2,0,"htaccess","htaccess-admin-redirect",""
"  AddHandler application/x-httpd-ea-php80___lsphp .php .php8 .phtml",0,0,0,0,0,0,2,2,0,"htaccess","",""
"  Options +FollowSymLinks",0,0,0,0,0,0,15,1,0,"htaccess","htaccess-admin-redirect",""
"  Redirect 301 ""/admin"" ""/plugins/kul/pages/admin/index.php?role=view""",37,0,26,11,0,0,26,11,0,"htaccess","htaccess-admin-redirect",""
"  RewriteBase /",0,0,0,0,0,0,0,1,0,"htaccess","htaccess-admin-redirect",""
"  RewriteCond %{REQUEST_FILENAME} -f",0,0,0,0,0,0,1,0,0,"htaccess","",""
"  RewriteEngine on",0,0,0,0,0,0,2,1,0,"htaccess","htaccess-admin-redirect",""
"  RewriteRule ^ - [E=HTTP_AUTHORIZATION:%{HTTP:Authorization}]",0,0,0,0,0,0,3,0,0,"htaccess","htaccess-admin-redirect",""
"  RewriteRule ^ - [L]",0,0,0,0,0,0,1,0,0,"htaccess","",""
"#",0,0,0,0,0,0,0,1,0,"htaccess","",""
"# Set the “ea-php80” package as the default “PHP” programming language.",0,0,0,0,0,0,0,1,0,"htaccess","",""
"# To externally redirect /dir/foo.php to /dir/foo",0,0,0,0,0,0,1,0,0,"htaccess","",""
"# Turn mod_rewrite on",0,0,0,0,0,0,1,0,0,"htaccess","",""
"# php -- BEGIN cPanel-generated handler, do not edit",0,0,0,0,0,0,0,1,0,"htaccess","",""
"# php -- END cPanel-generated handler, do not edit",0,0,0,0,0,0,0,1,0,"htaccess","",""
"#php_flag xdebug.auto_trace on",0,0,0,0,0,0,0,1,0,"htaccess","",""
"#php_flag xdebug.profiler_enable_trigger on",0,0,0,0,0,0,0,1,0,"htaccess","",""
"#php_flag xdebug.remote_connect_back on",0,0,0,0,0,0,0,1,0,"htaccess","",""
"#php_flag xdebug.remote_enable on",0,0,0,0,0,0,1,1,0,"htaccess","",""
"#php_flag xdebug.show_mem_delta on",0,0,0,0,0,0,0,1,0,"htaccess","",""
"#php_flag xdebug.trace_enable_trigger on",0,0,0,0,0,0,0,1,0,"htaccess","",""
"#php_flag xdebug.trace_format 1",0,0,0,0,0,0,0,1,0,"htaccess","",""
"-rw-------  1 IconThor IconThor  108 Sep 25 18:27 .Xauthority",0,0,0,0,0,0,6,0,0,"filesystem","filesystem-backup",""
"-rw-------  1 IconThor IconThor 231K Dec 30 08:36 .zsh_history",0,0,0,0,0,0,25,1,0,"filesystem","filesystem-backup",""
"-rw-------  1 cathy cathy    0 Dec  7 13:22 .ICEauthority",0,0,0,0,0,0,1,1,0,"filesystem","",""
"-rw-------  1 cathy cathy   49 Dec 30 03:12 .Xauthority",0,0,0,0,0,0,6,0,0,"filesystem","filesystem-backup",""
"-rw-------  1 cathy cathy 1.2K Dec  7 15:32 .zsh_history",0,0,0,0,0,0,13,1,0,"filesystem","filesystem-backup",""
"-rw-------  1 cathy cathy 5.8K Dec 30 03:12 .xsession-errors",0,0,0,0,0,0,4,1,0,"filesystem","filesystem-backup",""
"-rw-------  1 cathy cathy 7.9K Dec  7 15:33 .xsession-errors.old",0,0,0,0,0,0,2,1,0,"filesystem","filesystem-backup",""
"-rw-------  1 donald donald  57K Dec 29 17:18 .bash_history",0,0,0,0,0,0,15,0,0,"filesystem","filesystem-private-key",""
"-rw-------  1 donald donald 1.7K Nov 26 13:05 .node_repl_history",0,0,0,0,0,0,3,0,0,"filesystem","filesystem-private-key",""
"-rw-------  1 donald donald 2.7K Aug 18 10:01 .python_history",0,0,0,0,0,0,5,0,0,"filesystem","filesystem-private-key",""
"-rw-------  1 elsa elsa  108 Sep 25 18:27 .Xauthority",0,0,0,0,0,0,9,1,0,"filesystem","filesystem-keys",""
"-rw-------  1 elsa elsa 231K Dec 30 08:36 .zsh_history",0,0,0,0,0,0,21,0,0,"filesystem","filesystem-keys",""
"-rw-------  1 furi0zuc furi0zuc  13K Apr 23  2018 .viminfo",0,0,0,0,0,0,1,0,0,"filesystem","filesystem-config",""
"-rw-------  1 furi0zuc furi0zuc 8.9K Jul  5 21:47 .bash_history",0,0,0,0,0,0,20,0,0,"filesystem","filesystem-config",""
"-rw-------  1 gringla gringla  108 Sep 25 18:27 .Xauthority",0,0,0,0,0,0,3,0,0,"filesystem","filesystem-private-key",""
"-rw-------  1 gringla gringla 231K Dec 30 08:36 .zsh_history",0,0,0,0,0,0,8,0,0,"filesystem","filesystem-private-key",""
"-rw-------  1 lpc  lpc    88 Nov 22 10:28 .lesshst",0,0,0,0,0,0,2,0,0,"filesystem","filesystem-spam-list",""
"-rw-------  1 lpc  lpc   40K Dec 29 15:58 .bash_history",0,0,0,0,0,0,39,0,0,"filesystem","filesystem-customer-list",""
"-rw-------  1 lpc  lpc  2.4K Dec 23 15:19 .python_history",0,0,0,0,0,0,10,0,0,"filesystem","filesystem-customer-list",""
"-rw-------  1 mario mario   34 Sep 16 09:39 .python_history",0,0,0,0,0,0,3,0,0,"filesystem","",""
"-rw-------  1 mario mario  11K Oct 27 13:02 .bash_history",0,0,0,0,0,0,11,0,0,"filesystem","",""
"-rw-------  1 niknad52 niknad52   28 Mar 22  2022 .lesshst",0,0,0,0,0,0,2,0,0,"filesystem","","filesystem-dns-update-key"
"-rw-------  1 niknad52 niknad52  57K Dec 29 17:18 .bash_history",0,0,0,0,0,0,8,0,0,"filesystem","","filesystem-dns-update-key"
"-rw-------  1 root     root     357M Dec 25 07:00 dead.letter",0,0,0,0,0,0,12,7,0,"filesystem","filesystem-config",""
"-rw-------  1 salphard salphard    7 Jan 14  2022 .python_history",0,0,0,0,0,0,4,0,0,"filesystem","","filesystem-openvpn-config"
"-rw-------  1 salphard salphard  14K Mar 15  2019 .viminfo",0,0,0,0,0,0,1,0,0,"filesystem","","filesystem-openvpn-config"
"-rw-------  1 salphard salphard 7.2K Sep 25 19:17 .bash_history",0,0,0,0,0,0,10,0,0,"filesystem","","filesystem-openvpn-config"
"-rw-------  1 user856 user856  57K Dec 29 17:18 .bash_history",0,0,0,0,0,0,5,0,0,"filesystem","",""
"-rw-------  1 user856 user856 2.7K Aug 18 10:01 .python_history",0,0,0,0,0,0,1,0,0,"filesystem","",""
"-rw-------.  1 Plut0 Plut0  21K Oct 25 19:26 .bash_history",0,0,0,0,0,0,13,0,0,"filesystem","","filesystem-backup"
"-rw-------.  1 root root   75 Oct  2 19:25 .lesshst",0,0,0,0,0,0,1,1,0,"filesystem","","filesystem-private-key"
"-rw-------.  1 root root  21K Oct 25 19:26 .bash_history",0,0,0,0,0,0,30,0,0,"filesystem","","filesystem-kubernetes-manifests"
"-rw-------.  1 root root 1.7K Feb  4  2020 anaconda-ks.cfg",0,0,0,0,0,0,3,0,0,"filesystem","","filesystem-private-key"
"-rw-r-----  1 cathy cathy    4 Dec 30 03:12 .vboxclient-hostversion.pid",0,0,0,0,0,0,0,2,0,"filesystem","filesystem-backup",""
"-rw-r-----  1 cathy cathy    5 Dec 30 03:12 .vboxclient-clipboard.pid",0,0,0,0,0,0,5,2,0,"filesystem","filesystem-backup",""
"-rw-r-----  1 cathy cathy    5 Dec 30 03:12 .vboxclient-display-svga-x11.pid",0,0,0,0,0,0,1,2,0,"filesystem","filesystem-backup",""
"-rw-r-----  1 cathy cathy    5 Dec 30 03:12 .vboxclient-draganddrop.pid",0,0,0,0,0,0,2,2,0,"filesystem","filesystem-backup",""
"-rw-r-----  1 cathy cathy    5 Dec 30 03:12 .vboxclient-seamless.pid",0,0,0,0,0,0,1,2,0,"filesystem","filesystem-backup",""
"-rw-r--r--   1 Plut0 Plut0 2.6K Jul 25 14:00 install_linux.sh",0,0,0,0,0,0,6,5,0,"filesystem","","filesystem-backup"
"-rw-r--r--  1 IconThor IconThor   88 Jul 11  2021 test.gpg",0,0,0,0,0,0,21,8,0,"filesystem","filesystem-backup",""
"-rw-r--r--  1 IconThor IconThor  25G Sep 25 18:08 vm-101-disk-0_003.qcow2",0,0,0,0,0,0,12,1,0,"filesystem","filesystem-backup",""
"-rw-r--r--  1 IconThor IconThor  25G Sep 25 18:13 vm-101-disk-0_002.qcow2",0,0,0,0,0,0,12,1,0,"filesystem","filesystem-backup",""
"-rw-r--r--  1 IconThor IconThor  25G Sep 25 18:17 vm-101-disk-0_001.qcow2",0,0,0,0,0,0,12,1,0,"filesystem","filesystem-backup",""
"-rw-r--r--  1 IconThor IconThor  25G Sep 25 18:23 vm-101-disk-0_000.qcow2",0,0,0,0,0,0,14,1,0,"filesystem","filesystem-backup",""
"-rw-r--r--  1 IconThor IconThor  367 Sep  4  2020 .wget-hsts",0,0,0,0,0,0,3,2,0,"filesystem","filesystem-backup",""
"-rw-r--r--  1 IconThor IconThor 129M Feb 21 12:40 backup.tar.gz",17,0,16,1,0,0,16,1,0,"filesystem","filesystem-backup",""
"-rw-r--r--  1 IconThor IconThor 3.1K Jun 13  2022 .zshrc",0,0,0,0,0,0,2,0,0,"filesystem","",""
"-rw-r--r--  1 IconThor IconThor 3.3G Sep 25 18:01 vm-101-disk-0_004.qcow2",0,0,0,0,0,0,14,1,0,"filesystem","filesystem-backup",""
