"mid","eid","uid","rid","qid","query_label","query_type","answer_time","response_time","answer_rank","answer_line","answer_type","mrk_neutral","mrk_hack","mrk_trap","mrk_line","mrk_on_dcpt","mrk_on_risk","mrk_hack_on_risk","mrk_hack_on_dcpt","mrk_trap_on_risk","mrk_trap_on_dcpt"
0,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","c993d0c55b55030fa7151b4e4cfa6d62","TR150.networkrequests.juice_shop_herokuapp_com-002","neutral","networkrequests","2023-02-02 18:30:15.842000+00:00",43.027,0,2,"hack",False,True,False,"6.588 GET https://juice-shop.herokuapp.com/rest/admin/application-configuration 200 OK (7.2 kB)",False,False,False,False,"",""
1,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","6dc564ad66a119c741ce6b958e48d8fc","hackertarget-000953.02","neutral","httpheaders","2023-02-02 18:30:42.730000+00:00",26.75,0,4,"trap",False,False,True,"X: 23",False,False,"","",False,False
2,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","6dc564ad66a119c741ce6b958e48d8fc","hackertarget-000953.02","neutral","httpheaders","2023-02-02 18:30:42.730000+00:00",26.75,1,8,"hack",False,True,False,"Transfer-Encoding:  chunked",False,False,False,False,"",""
3,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","951ec92f126e5b735a539e4b10810b9a","TR645.filesystem.home-goofy","neutral","filesystem","2023-02-02 18:31:30.601000+00:00",47.722,0,7,"trap",False,False,True,"drwxr-xr-x  5 goofy goofy 4.0K Jul 10  2021 git-crypt",False,False,"","",False,False
4,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","951ec92f126e5b735a539e4b10810b9a","TR645.filesystem.home-goofy","neutral","filesystem","2023-02-02 18:31:30.601000+00:00",47.722,1,8,"hack",False,True,False,"drwx------  4 goofy goofy 4.0K Jan 14  2022 .gnupg",False,False,False,False,"",""
5,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","f1559e9da6a834f22ae1adcd1b2bc1b4","hackertarget-001916.02","neutral","httpheaders","2023-02-02 18:31:54.809000+00:00",24.091,0,10,"trap",False,False,True,"X-Geek: What's black and white and red all over? Please don't kill our penguin-powered server.",False,False,"","",False,False
6,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","f1559e9da6a834f22ae1adcd1b2bc1b4","hackertarget-001916.02","neutral","httpheaders","2023-02-02 18:31:54.809000+00:00",24.091,1,11,"trap",False,False,True,"X-Bacon: I wonder what penguin bacon tastes like.",False,False,"","",False,False
7,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","f1559e9da6a834f22ae1adcd1b2bc1b4","hackertarget-001916.02","neutral","httpheaders","2023-02-02 18:31:54.809000+00:00",24.091,2,6,"hack",False,True,False,"ETag: ""edb9-53496b3a-f74498d855146fe7""",False,False,False,False,"",""
8,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","263ebd7561e2278c8bea2ee816251a96","TR645.filesystem.home-elsa-keys-json","deceptive","filesystem","2023-02-02 18:32:46.849000+00:00",51.918,0,8,"hack",False,True,False,"-rw-r--r--  1 elsa elsa  12K Feb  6  2022 keys.json",True,False,False,True,"",""
9,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","263ebd7561e2278c8bea2ee816251a96","TR645.filesystem.home-elsa-keys-json","deceptive","filesystem","2023-02-02 18:32:46.849000+00:00",51.918,1,9,"hack",False,True,False,"-rw-r--r--  1 elsa elsa  367 Sep  4  2020 .wget-hsts",False,False,False,False,"",""
10,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","263ebd7561e2278c8bea2ee816251a96","TR645.filesystem.home-elsa-keys-json","deceptive","filesystem","2023-02-02 18:32:46.849000+00:00",51.918,2,6,"hack",False,True,False,"drwxr-xr-x  4 elsa elsa 4.0K Aug  1  2021 react-app-master",False,False,False,False,"",""
11,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","00d53833244a330cb3fb2969dadf5a50","TR150.networkrequests.juice_shop_herokuapp_com-001","neutral","networkrequests","2023-02-02 18:34:02.316000+00:00",75.347,0,7,"hack",False,True,False,"10.200 GET https://juice-shop.herokuapp.com/rest/user/whoami 200 OK (11 bytes)",False,False,False,False,"",""
12,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","00d53833244a330cb3fb2969dadf5a50","TR150.networkrequests.juice_shop_herokuapp_com-001","neutral","networkrequests","2023-02-02 18:34:02.316000+00:00",75.347,1,1,"hack",False,True,False,"0.000 GET https://juice-shop.herokuapp.com/rest/user/whoami 200 OK (11 bytes)",False,False,False,False,"",""
13,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","48e2c661fa19fab9c677754bbd4e18ee","TR150.htaccess.github-ZeroDayTea_kqctf","neutral","htaccess","2023-02-02 18:35:17.833000+00:00",75.391,0,8,"hack",False,True,False,"RewriteCond %{THE_REQUEST} ^[A-Z]{3,}\s([^.]+)\.php [NC]",False,False,False,False,"",""
14,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","d6e4834eec106f200ecb540f5841fc31","TR150.htaccess.admin-redirect","deceptive","htaccess","2023-02-02 18:35:35.057000+00:00",17.11,0,5,"trap",False,False,True,"  Redirect 301 ""/admin"" ""/plugins/kul/pages/admin/index.php?role=view""",True,False,"","",False,True
15,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","4f81038f24cc16f1e731887c236be55b","TR849.filesystem.rowe.home-cooper","deceptive","filesystem","2023-02-02 18:35:56.342000+00:00",21.17,-1,-1,"neutral",True,False,False,"","","","","","",""
16,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","2159cf0d6414e87bf24cadc137a4a5ff","TR849.filesystem.rowe.home-gaitan","neutral","filesystem","2023-02-02 18:36:14.973000+00:00",18.519,-1,-1,"neutral",True,False,False,"","","","","","",""
17,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","bff3f707b1aeaffaa6b5bf096f3658e3","TR150.htaccess.github-Aiko-IT-Systems_DisCatSharp-admin-redirect","deceptive","htaccess","2023-02-02 18:36:48.537000+00:00",33.397,0,7,"trap",False,False,True,"Redirect 301 ""/admin"" ""/view/admin/index.php?role=view""",True,False,"","",False,True
18,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","af14e065b38f71b73e79d35cf5593dbe","TR150.networkrequests.jira_dynatrace_org-trunc-02-insufficient-logging-monitoring","deceptive","networkrequests","2023-02-02 18:37:54.238000+00:00",65.549,0,17,"hack",False,True,False,"3.789 GET https://jira.site.org/rest/tempo-rest/2.0/gh/canOnlyViewOwnWorklogs/1029615?_=185447722 200 OK (16 bytes)fw",False,False,False,False,"",""
19,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","af14e065b38f71b73e79d35cf5593dbe","TR150.networkrequests.jira_dynatrace_org-trunc-02-insufficient-logging-monitoring","deceptive","networkrequests","2023-02-02 18:37:54.238000+00:00",65.549,1,24,"trap",False,False,True,"4.215 GET https://jira.site.org/rest/scriptrunner/1.0/message?_=185447724 204 No Content (1 bytes)",False,False,"","",False,False
20,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","60616c5a81723be5520b3691ae8db648","TR150.filesystem.home-leonard-keys-json","deceptive","filesystem","2023-02-02 18:38:25.546000+00:00",31.171,0,7,"hack",False,True,False,"drwx------  4 leonard leonard 4.0K Jan 14  2022 .gnupg",False,False,False,False,"",""
21,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","60616c5a81723be5520b3691ae8db648","TR150.filesystem.home-leonard-keys-json","deceptive","filesystem","2023-02-02 18:38:25.546000+00:00",31.171,1,8,"hack",False,True,False,"-rw-r--r--  1 leonard leonard  12K Feb  6  2022 keys.json",True,False,False,True,"",""
22,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","23969e12e0d546db711b91d12d29c6e1","TR150.filesystem.home-leonard-password-txt","deceptive","filesystem","2023-02-02 18:38:44.184000+00:00",18.534,0,8,"trap",False,False,True,"-rw-r--r--  1 leonard leonard 9.7K Jun  6  2022 passwords.txt",True,False,"","",False,True
23,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","23969e12e0d546db711b91d12d29c6e1","TR150.filesystem.home-leonard-password-txt","deceptive","filesystem","2023-02-02 18:38:44.184000+00:00",18.534,1,7,"hack",False,True,False,"drwx------  4 leonard leonard 4.0K Jan 14  2022 .gnupg",False,False,False,False,"",""
24,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","49bda63b7e601b3763ddc3a0c83019ab","TR150.networkrequests.mail_google_com-trunc-02","neutral","networkrequests","2023-02-02 18:39:51.872000+00:00",67.582,-1,-1,"neutral",True,False,False,"","","","","","",""
25,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","90e5552a89a43e6f6c192015ff290034","TR150.filesystem.root-k8s-manifests","risky","filesystem","2023-02-02 18:40:19.136000+00:00",27.157,0,16,"hack",False,True,False,"drwx------.  2 root root 4.0K Sep 27 19:30 .ssh",False,False,False,False,"",""
26,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","90e5552a89a43e6f6c192015ff290034","TR150.filesystem.root-k8s-manifests","risky","filesystem","2023-02-02 18:40:19.136000+00:00",27.157,1,3,"hack",False,True,False,"-rw-------.  1 root root  21K Oct 25 19:26 .bash_history",False,False,False,False,"",""
27,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","e708772805147469375c7c7b555b6be6","TR856.httpheaders.outdated-apache-server-1.0.3-and-httpheader-devtoken","deceptive","httpheaders","2023-02-02 18:40:31.618000+00:00",12.374,0,8,"trap",False,False,True,"X-DevToken: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0b2tlbiI6IjMwZDk4NGI4Iiwicm9sZSI6ImNsdXN0ZXIifQ.J2c1XH2RsXDjaWJhCHSWR4bBNxEm7l2Q7WxrlG2vph4",True,False,"","",False,True
28,"ex1","07eabf6f-1c28-4700-a3bf-292a71a731ff","5f8a578e6b6fbbb3a28ae9c76a3a0fd2","TR150.networkrequests.mail_google_com-trunc-02-improper-assets-management","deceptive","networkrequests","2023-02-02 18:40:47.696000+00:00",15.965,0,15,"hack",False,True,False,"5.044 POST https://mail.site.com/mail/u/0/?ui=2&ik=6e75e4f3f0&jsver=CE191cIHKTw.en..es5&cbl=mail.pinto-server_20221219.06_p0&rid=b833..&auto=1&view=mic&_reqid=432057&pcd=1&cfact=7056&cfinact=7058%2C7083%2C7082%2C7117%2C7085%2C7057%2C7084%2C7086&mb=0&rt=j 200 OK (0.8 kB)",False,False,False,False,"",""
29,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","eebf1b7e785469b618649f7a1746ae19","TR150.networkrequests.juice_shop_herokuapp_com-001","neutral","networkrequests","2023-02-01 15:49:30.230000+00:00",176.836,-1,-1,"neutral",True,False,False,"","","","","","",""
30,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","4dd2c69606d6dd17ae6a190d17f61fe0","TR150.networkrequests.juice_shop_herokuapp_com-002","neutral","networkrequests","2023-02-01 15:51:42.882000+00:00",132.513,0,2,"hack",False,True,False,"6.588 GET https://juice-shop.herokuapp.com/rest/admin/application-configuration 200 OK (7.2 kB)",False,False,False,False,"",""
31,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","3d759a8dcde0614e27ec6488cccb3dfb","TR645.filesystem.home-goofy","neutral","filesystem","2023-02-01 15:52:05.412000+00:00",22.39,0,11,"hack",False,True,False,"-rw-r--r--  1 goofy goofy 816M Nov 18  2020 nginx-proxy-logs.txt",False,False,False,False,"",""
32,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","e33dd3026887318289ca271e23acc337","TR150.htaccess.admin-redirect","deceptive","htaccess","2023-02-01 15:52:18.769000+00:00",13.264,0,5,"trap",False,False,True,"  Redirect 301 ""/admin"" ""/plugins/kul/pages/admin/index.php?role=view""",True,False,"","",False,True
33,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","c0ba5801b5b8b27dbb653bedaf73de64","hackertarget-001916.02","neutral","httpheaders","2023-02-01 15:57:43.716000+00:00",324.863,-1,-1,"neutral",True,False,False,"","","","","","",""
34,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","20e430c8d4cbd03bec1c97ba05b23419","hackertarget-000953.02","neutral","httpheaders","2023-02-01 15:57:57.201000+00:00",13.172,0,4,"hack",False,True,False,"X: 23",False,False,False,False,"",""
35,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","2a157f78955244f25d59792ea1359b39","TR645.filesystem.home-elsa-keys-json","deceptive","filesystem","2023-02-01 15:58:08.758000+00:00",11.475,0,8,"trap",False,False,True,"-rw-r--r--  1 elsa elsa  12K Feb  6  2022 keys.json",True,False,"","",False,True
36,"ex1","0b5952cf-38a8-4321-bc79-cf57387a3def","3a6769209f86ae3e53e7dcedc422a9a4","TR150.htaccess.github-ZeroDayTea_kqctf","neutral","htaccess","2023-02-01 16:00:18.839000+00:00",129.993,-1,-1,"neutral",True,False,False,"","","","","","",""
